"title","object","action","movie","allplay"
"mongoose","tire swing","hope","Drive","Dawn of the Dead"
"George Clooney","bottle of pills","follow","Crumb","The Big Lebowski"
"The Gherkin","video games","bolt","Night and Fog","tempt"
"koala","novel","spray","Love Exposure","Kafka"
"William the Conqueror","garden spade","unpack","Memories of Murder","The Hustler"
"Moai","egg beater","ruin","The Enigma of Kaspar Hauser","Day of Wrath"
"mouse","whip","retire","Fireworks","Alhambra"
"Yoko Ono","dolphin","inject","The Cremator","bowl"
"Temple of Luxor","food","record","Raise the Red Lantern","The Sacrifice"
"snake","fork","sack","Cool Hand Luke","Onibaba"
"Neil Armstrong","cement stone","fry","The Wrong Trousers","Brazil"
"Brandenburg Gate","stop sign","stamp","Days of Heaven","communicate"
"ferret","clay pot","receive","Inside Out","Pompidue Center"
"Ernest Hemingway","book","confess","Ashes and Diamonds","clean"
"Pentagon","fridge","cycle","The Thin Red Line","Le Cercle Rouge"
"toad","picture frame","wipe","Through a Glass Darkly","Clint Eastwood"
"Queen Elizabeth I","slipper","instruct","Jeanne Dielman 23, Quai Du Commerce 1080 Bruxelles","Spanish Steps"
"Vesuvio","handheld game system","box","Lavventura","raise"
"ground","white out","trace","Gentlemen of Fortune","Its a Wonderful Life"
"Charles Darwin","box","knit","The Departed","sponge"
"Mayan Pyramids of Chichen Itza","baseball","knot","The Matrix","Henri Matisse"
"hog","canteen","kick","Breathless","Le Trou"
"Napoleon","button","bathe","The Diamond Arm","separate"
"Cloud Gate","bottle of oil","disagree","Celine and Julie Go Boating","comic book"
"fox","squirt gun","sniff","Au Hasard Balthazar","Homer"
"Malala Yousafzai","hair pin","suppose","Badlands","surprise"
"Angkor Wat","wristwatch","behave","Rope","music CD"
"crow","spatula","grab","The Hound of the Baskervilles","pair of earrings"
"Beyonce","ice cube","prevent","No Direction Home: Bob Dylan","applaud"
"Victoria Falls","light","jump","Dogville","paper"
"donkey","salt shaker","hunt","I Knew Her Well","Day of the Wacko"
"Alfred Hitchcock","spring","beam","Whos Afraid of Virginia Woolf?","bananas"
"Terracotta Warriors","postage stamp","sail","Nashville","needle"
"capybara","drawer","man","Latalante","The Travelling Players"
"Salvador Dali","bangle bracelet","subtract","Opening Night","Before Midnight"
"Potala Palace","door","pedal","The Crucified Lovers","Some Like It Hot"
"armadillo","buckle","film","A Short Film About Killing","Playtime"
"Genghis Khan","locket","love","Magnolia","dagger"
"Petra","toilet paper tube","rock","On the Waterfront","screw"
"elephant","soap","hang","The Holy Mountain","beaded necklace"
"Marie Antoinette","glasses","invite","Blow-Up","guess"
"Hagia Sophia","stick of incense","release","Groundhog Day","Amelia Earhart"
"gorilla","pillow","attract","In a Lonely Place","refuse"
"Daniel Craig","extension cord","explain","Rio Bravo","couch"
"Oriental Pearl Tower","small pouch","alert","Leon: The Professional","cucumber"
"moose","shirt","place","Make Way for Tomorrow","Michelangelo"
"Rasputin","ice pick","strengthen","The Kids Are Alright","treat"
"Nyhavn","pasta strainer","fasten","Repulsion","raccoon"
"beaver","bottle of honey","dance","Nosferatu","sidewalk"
"Osama Bin Laden","toy car","worry","Pastoral: To Die in the Country","decay"
"Ponte Vecchio","packet of seeds","rescue","Castle in the Sky","serve"
"hog","nail clippers","poke","Die Hard","force"
"Will Smith","lotion","weigh","Crimes and Misdemeanors","The Shop Around the Corner"
"Wailing Wall","washing machine","reject","Monterey Pop","lighten"
"wildcat","shampoo","suspend","The Crowd","bottle"
"Nero","jigsaw puzzle","delight","The Pianist","step"
"Loch Ness","keychain","permit","The Big Sleep","toy plane"
"boar","lamp shade","discover","The Tale of the Princess Kaguya","elk"
"Stephen Hawking","tennis racket","clap","Sweet Smell of Success","Amadeus"
"Mecca","rope","answer","The Best Years of Our Lives","Manhattan"
"opossum","purse","identify","Casino","children's book"
"The Zodiac Killer","bow","approve","La Haine","Cologne Cathedral"
"Sydney Harbor Bridge","keys","smell","L.A. Confidential","Van Gogh"
"cow","chenille stick","sound","The Lives of Others","Louis Armstrong"
"Agatha Christie","pearl necklace","guard","Out of the Past","candlestick"
"Sistine Chapel","microphone","spare","Duck Soup","wireless control"
"orangutan","glow stick","signal","Trouble in Paradise","fox"
"Edgar Allen Poe","clothes pin","park","Night Train","request"
"Summer Palace","sandglass","afford","Mon Oncle","Short Cuts"
"fish","toothpick","smash","Nausicaa of the Valley of the Wind","light bulb"
"Johannes Gutenberg","incense holder","greet","The Last Laugh","bottle cap"
"Mount Etna","pail","admire","Three Colors: Blue","plush bear"
"newt","window","trick","Pans Labyrinth","untidy"
"Edvard Munch","tea cup","divide","Red Desert","Frank Lloyd Wright"
"Lascaux Caves","shoes","spoil","The Sting","continue"
"squirrel","bed","crush","My Night at Mauds","sip"
"Olivia Newton-John","bottle of paint","help","The Cranes Are Flying","dictionary"
"Bryce Canyon National Park","spice bottle","blot","Midnight Cowboy","Elizabeth Taylor"
"lizard","laser pointer","grate","Senna","Being John Malkovich"
"Beethoven","sketch pad","suit","Placido","Rashomon"
"Great Buddha","butter knife","disapprove","The Grand Budapest Hotel","There Will Be Blood"
"oryx","shovel","brush","Dial M for Murder","Rembrandt"
"Stevie Wonder","crowbar","practise","Alice in the Cities","A Woman Under the Influence"
"Freedom Tower","plush octopus","apologise","Kanal","Bridge of Sighs"
"platypus","sand paper","tire","Lessons of Darkness","saw"
"Isaac Newton","martini glass","twist","Johnny Guitar","Paths of Glory"
"Gateway Arch","wishbone","roll","It Happened One Night","Tiger Woods"
"aardvark","box of markers","transport","Autumn Sonata","Yellowstone National Park"
"Elton John","key chain","supply","An Autumn Afternoon","The Mother and the Whore"
"Shanghai World Finacial Center","map","own","Hannah and Her Sisters","Edgar Degas"
"deer","tweezers","tame","Heat","Portofino"
"Meryl Streep","belt","accept","Boyhood","ram"
"Santorini","sandal","fear","Down by Law","cause"
"ocelot","pepper shaker","end","Amarcord","Marlon Brando"
"Bach","bonesaw","shop","Beware of the Car!","reach"
"Mill Complex at Kinderdijk","bar of soap","annoy","Django Unchained","kangaroo"
"mandrill","bottle of water","relax","Up","toy robot"
"Jim Morrison","egg","rain","Kes","The End of Evangelion"
"Monument Valley Navajo Tribal Park","lace","drip","The Wind","feather duster"
"otter","sticky note","obtain","The Testament of Dr. Mabuse","yak"
"Aristotele","thimble","preserve","The Turin Horse","egg timer"
"Tsarskoye Selo (Catherine Palace)","bottle of ink","care","Out 1","Rome, Open City"
"lemur","cellphone","wriggle","Mouchette","hyena"
"hamster","knife","introduce","The Truman Show","Greed"
"ibex","cell phone","jog","Let the Right One in","laugh"
"ape","sharpie","curl","Strangers on a Train","The Lord of the Rings: The Return of the King"
"porcupine","acorn","bake","Threads","tug"
"salamander","bag","sign","The Killing","Ai Weiwei"
"mountain","radio","tap","The Story of the Last Chrysanthemum","teddies"
"goat","quilt","lie","Kind Hearts and Coronets","bare"
"bat","magnet","boil","Scarface","feather"
"parakeet","toy soldier","hum","The Cameraman","Goodfellas"
"grizzly","cork","juggle","Mad Max: Fury Road","check book"
"bear","spool of wire","miss","Twelve Monkeys","bruise"
"prairie","mobile phone","switch","Harlan County U.S.A.","bury"
"dog","candy cane","stay","Ivan Vasilievich: Back to the Future","brush"
"turtle","Christmas ornament","present","The Burmese Harp","The Conversation"
"puma","key","wait","Salto","Fight Club"
"cougar","pen","stroke","The Life and Death of Colonel Blimp","unite"
"gazelle","tooth pick","plan","Funeral Parade of Roses","Aretha Franklin"
"walrus","fishing hook","clear","Dimensions of Dialogue","strip"
"panther","trash bag","complain","Time of the Gypsies","fake flowers"
